"plot";"abbr";"layer";"cov";"voucher";"comment";"history"
"H1-10";"prim fari";"hl";3;;;
"H1-10";"prun vulg";"hl";3;;;
"H1-10";"ranu acri acri";"hl";2;;;
"H1-10";"ranu nemo";"hl";3;;;
"H1-10";"salv glut";"hl";2;;;
"H1-10";"sesl caer";"hl";4;;;" | Changed sesl albi To sesl caer 2012-11-27 18:46:58"
"H1-10";"thym prae prae";"hl";3;;;
"H1-10";"trif prat prat";"hl";3;;;" | Changed trif prat To trif prat prat 2012-11-27 18:46:57"
"H1-10";"trif repe repe";"hl";2;;;
"H1-10";"viol hirt";"hl";2;;;
"H2-01";"acer pseu";"hl";2;;;
"H2-01";"anth vuln alpi";"hl";3;;;" | Changed anth vuln alpe To anth vuln alpi 2012-11-27 18:47:00"
"H2-01";"bell pere";"hl";2;;;
"H2-01";"buph sali";"hl";1;;;
"H2-01";"card defl viri";"hl";3;;;" | Changed card defl defl To card defl viri 2012-11-27 18:47:01"
"H2-01";"care cary";"hl";3;;;
"H2-01";"clin alpi alpi";"hl";8;;;" | Changed cala alpi To clin alpi alpi 2012-11-27 18:47:01"
"H2-01";"euph cypa";"hl";3;;;
"H2-01";"fest prat prat";"hl";2;;;
"H2-01";"fest rubr rubr";"hl";3;;;
"H2-01";"gali anis";"hl";3;;;
"H2-01";"gent cruc";"hl";1;;;
"H2-01";"gent vern vern";"hl";2;;;
"H2-01";"leon hisp hyos";"hl";5;;;
"H2-01";"linu cath";"hl";3;;;" | Changed linu cart To linu cath 2012-11-27 18:47:01"
"H2-01";"mone unif";"hl";3;;;" | Changed pyro unif To mone unif 2012-11-27 18:47:01"
"H2-01";"pimp majo slat";"hl";2;;;" | Changed pimp majo To pimp majo slat 2012-11-27 18:46:56"
"H2-01";"plan lanc";"hl";2;;;
"H2-01";"plan medi";"hl";3;;;
"H2-01";"pote erec";"hl";3;;;
"H2-01";"ranu acri acri";"hl";3;;;
"H2-01";"ranu nemo";"hl";3;;;
"H2-01";"rhin mino";"hl";2;;;
"H2-01";"rume alpe";"hl";2;;;" | Changed rume arif To rume alpe 2012-11-27 18:47:01"
"H2-01";"scab luci luci";"hl";2;;;
"H2-01";"sile nuta nuta";"hl";4;;;" | Changed sile nuta To sile nuta nuta 2012-11-27 18:47:02"
"H2-01";"tara sect alpi";"hl";3;;;
"H2-01";"thes alpi";"hl";1;;;
"H2-01";"trif prat prat";"hl";3;;;" | Changed trif prat To trif prat prat 2012-11-27 18:46:57"
"H2-02";"acer pseu";"hl";2;;;
"H2-02";"ajug rept";"hl";2;;;
"H2-02";"alch spec ies";"hl";2;;;" | Changed alch vulg To alch spec ies 2012-11-27 18:46:55"
"H2-02";"anth vuln alpi";"hl";4;;;" | Changed anth vuln alpe To anth vuln alpi 2012-11-27 18:47:00"
"H2-02";"arab cili";"hl";2;"2009-0076";;
"H2-02";"buph sali";"hl";2;;;
"H2-02";"card defl viri";"hl";2;;;" | Changed card defl defl To card defl viri 2012-11-27 18:47:01"
"H2-02";"care cary";"hl";3;;;
"H2-02";"care flac";"hl";4;;;
"H2-02";"care pani";"hl";3;;;
"H2-02";"care sylv";"hl";2;;;
"H2-02";"cent jace jace";"hl";3;;;
"H2-02";"clin alpi alpi";"hl";8;;;" | Changed cala alpi To clin alpi alpi 2012-11-27 18:47:01"
"H2-02";"cyno cris";"hl";2;;;
"H2-02";"euph cypa";"hl";5;;;
"H2-02";"euph offi rost";"hl";3;;;" | Changed euph rost mont To euph offi rost 2012-11-27 18:47:02"
"H2-02";"fest prat prat";"hl";3;;;
"H2-02";"fest rubr rubr";"hl";3;;;
"H2-02";"gali anis";"hl";4;"2009-0077";;
"H2-02";"hipp como";"hl";2;;;
"H2-02";"leon hisp hyos";"hl";4;;;
"H2-02";"linu cath";"hl";4;;;" | Changed linu cart To linu cath 2012-11-27 18:47:01"
"H2-02";"medi lupu";"hl";3;;;
"H2-02";"pimp majo slat";"hl";3;;;" | Changed pimp majo To pimp majo slat 2012-11-27 18:46:56"
